, auto_rpm = 419.581, auto_npackets = 108, prev_frac_packet = 0.558219
, auto_rpm = 418.976, auto_npackets = 108, prev_frac_packet = 0.467024
, auto_rpm = 419.401, auto_npackets = 108, prev_frac_packet = 0.266444
, auto_rpm = 420.861, auto_npackets = 107, prev_frac_packet = 0.692074
, auto_rpm = 419.626, auto_npackets = 108, prev_frac_packet = 0.433857
, auto_rpm = 420.237, auto_npackets = 108, prev_frac_packet = 0.0189966
, auto_rpm = 420.1, auto_npackets = 107, prev_frac_packet = 0.639194
, auto_rpm = 420.252, auto_npackets = 108, prev_frac_packet = 0.22049
, auto_rpm = 420.637, auto_npackets = 107, prev_frac_packet = 0.703165
, auto_rpm = 421.019, auto_npackets = 108, prev_frac_packet = 0.0884288
, auto_rpm = 420.332, auto_npackets = 107, prev_frac_packet = 0.649062
, auto_rpm = 420.162, auto_npackets = 108, prev_frac_packet = 0.253376
, auto_rpm = 420.155, auto_npackets = 107, prev_frac_packet = 0.859513
, auto_rpm = 418.814, auto_npackets = 108, prev_frac_packet = 0.810084
, auto_rpm = 419.12, auto_npackets = 108, prev_frac_packet = 0.681848
, auto_rpm = 419.174, auto_npackets = 108, prev_frac_packet = 0.539867
, auto_rpm = 419.461, auto_npackets = 108, prev_frac_packet = 0.324012
, auto_rpm = 420.084, auto_npackets = 107, prev_frac_packet = 0.948218
, auto_rpm = 420.37, auto_npackets = 108, prev_frac_packet = 0.499323
, auto_rpm = 420.095, auto_npackets = 108, prev_frac_packet = 0.120645
, auto_rpm = 419.716, auto_npackets = 107, prev_frac_packet = 0.839274
, auto_rpm = 420.506, auto_npackets = 108, prev_frac_packet = 0.355441
, auto_rpm = 419.851, auto_npackets = 108, prev_frac_packet = 0.0394452
, auto_rpm = 420.722, auto_npackets = 107, prev_frac_packet = 0.500419
, auto_rpm = 420.802, auto_npackets = 107, prev_frac_packet = 0.941129
, auto_rpm = 418.988, auto_npackets = 108, prev_frac_packet = 0.846865
, auto_rpm = 419.594, auto_npackets = 108, prev_frac_packet = 0.596781
, auto_rpm = 419.745, auto_npackets = 108, prev_frac_packet = 0.30797
, auto_rpm = 420.694, auto_npackets = 107, prev_frac_packet = 0.776117
, auto_rpm = 418.887, auto_npackets = 108, prev_frac_packet = 0.708031
, auto_rpm = 419.936, auto_npackets = 108, prev_frac_packet = 0.370213
, auto_rpm = 419.583, auto_npackets = 108, prev_frac_packet = 0.123071
, auto_rpm = 419.741, auto_npackets = 107, prev_frac_packet = 0.835238
, auto_rpm = 419.741, auto_npackets = 108, prev_frac_packet = 0.547367
, auto_rpm = 420.108, auto_npackets = 108, prev_frac_packet = 0.165544
, auto_rpm = 419.805, auto_npackets = 107, prev_frac_packet = 0.86144
, auto_rpm = 420.794, auto_npackets = 108, prev_frac_packet = 0.304003
, auto_rpm = 420.619, auto_npackets = 107, prev_frac_packet = 0.791394
, auto_rpm = 420.945, auto_npackets = 108, prev_frac_packet = 0.195573
, auto_rpm = 420.177, auto_npackets = 107, prev_frac_packet = 0.795928
, auto_rpm = 419.843, auto_npackets = 108, prev_frac_packet = 0.481933
, auto_rpm = 419.555, auto_npackets = 108, prev_frac_packet = 0.241835
, auto_rpm = 419.4, auto_npackets = 108, prev_frac_packet = 0.0415702
, auto_rpm = 420.313, auto_npackets = 107, prev_frac_packet = 0.607262
, auto_rpm = 419.822, auto_npackets = 108, prev_frac_packet = 0.298559
